"id","travel_date","province_thai","province_eng","region_thai","region_eng","no_tourist_all","no_tourist_foreign","no_tourist_stay","no_tourist_thai","ratio_tourist_stay","revenue_all","revenue_foreign","revenue_thai"
24572,"2019-01-01",กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,5959075.0,2425014.0,3334971.0,3534061.0,93.37,81926490000,52183910000,29742580000
24573,"2019-01-01",ลพบุรี,Lopburi ,ภาคกลาง,central,268664.0,2363.0,51858.0,266301.0,61.32,457240000,5410000.0,451830000
24574,"2019-01-01",พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,730329.0,168776.0,117052.0,561553.0,73.37,1438730000,384480000,1054250000
24575,"2019-01-01",สระบุรี,Saraburi ,ภาคกลาง,central,207236.0,5836.0,89850.0,201400.0,67.33,347790000,11600000,336190000
24576,"2019-01-01",ชัยนาท,Chainat ,ภาคกลาง,central,79073.0,559.0,27141.0,78514.0,79.31,101790000,890000.0,100900000
24577,"2019-01-01",นครปฐม,Nakhon Pathom ,ภาคกลาง,central,296107.0,11699.0,118629.0,284408.0,71.7,407980000,16860000,391120000
24578,"2019-01-01",สิงห์บุรี,Sing Buri ,ภาคกลาง,central,49438.0,248.0,18147.0,49190.0,64.65,69610000,390000.0,69220000
24579,"2019-01-01",อ่างทอง,Ang Thong ,ภาคกลาง,central,104097.0,5281.0,19140.0,98816.0,71.21,132070000,5750000.0,126320000
24580,"2019-01-01",นนทบุรี,Nonthaburi ,ภาคกลาง,central,323717.0,30373.0,100553.0,293344.0,75.07,527420000,105090000,422330000
24581,"2019-01-01",ปทุมธานี,Pathum Thani ,ภาคกลาง,central,233295.0,60878.0,56118.0,172417.0,60.77,307920000,103780000,204140000
24582,"2019-01-01",สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,408652.0,209328.0,109185.0,199324.0,72.5,796190000,487860000,308330000
24583,"2019-01-01",สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,109253.0,421.0,56561.0,108832.0,61.64,164490000,730000.0,163760000
24584,"2019-01-01",ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,270438.0,3731.0,38687.0,266707.0,59.4,292960000,4780000.0,288180000
24585,"2019-01-01",ราชบุรี,Ratchaburi ,ภาคกลาง,central,236440.0,4553.0,93978.0,231887.0,75.09,450010000,10830000,439180000
24586,"2019-01-01",กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,752901.0,45211.0,339491.0,707690.0,83.8,2695150000,256960000,2438190000
24587,"2019-01-01",สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,201751.0,3799.0,65407.0,197952.0,75.6,344930000,7340000.0,337590000
24588,"2019-01-01",สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,235981.0,1748.0,99531.0,234233.0,89.43,487610000,2710000.0,484900000
24589,"2019-01-01",เพชรบุรี,Phetchaburi ,ภาคกลาง,central,713674.0,70307.0,357725.0,643367.0,81.2,2352550000,575990000,1776560000
24590,"2019-01-01",ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,639052.0,127972.0,391494.0,511080.0,64.55,3755100000,1238260000,2516840000
24591,"2019-01-01",ชลบุรี,Chonburi ,ภาคตะวันออก,east,1570327.0,937411.0,1343262.0,632916.0,84.33,27896450000,23929010000,3967440000
24592,"2019-01-01",จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,257105.0,6956.0,118776.0,250149.0,68.86,844480000,48770000,795710000
24593,"2019-01-01",ตราด,Trat ,ภาคตะวันออก,east,224218.0,81544.0,205330.0,142674.0,80.48,2073220000,1173070000,900150000
24594,"2019-01-01",นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,278705.0,2456.0,140711.0,276249.0,68.39,842490000,6290000.0,836200000
24595,"2019-01-01",ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,183846.0,13125.0,106063.0,170721.0,68.57,521290000,41890000,479400000
24596,"2019-01-01",ระยอง,Rayong ,ภาคตะวันออก,east,650811.0,69188.0,377300.0,581623.0,70.11,2435410000,454990000,1980420000
24597,"2019-01-01",สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,199751.0,34620.0,69400.0,165131.0,56.69,581600000,97910000,483690000
24598,"2019-01-01",ภูเก็ต,Phuket ,ภาคใต้,south,1690776.0,1333007.0,1528585.0,357769.0,86.05,55328200000,50557610000,4770590000
24599,"2019-01-01",พัทลุง,Phatthalung ,ภาคใต้,south,120318.0,797.0,67285.0,119521.0,68.66,181320000,2510000.0,178810000
24600,"2019-01-01",ตรัง,Trang ,ภาคใต้,south,173715.0,24316.0,131744.0,149399.0,72.3,1250160000,220490000,1029670000
24601,"2019-01-01",ระนอง,Ranong ,ภาคใต้,south,110844.0,7054.0,85886.0,103790.0,59.33,368380000,45560000,322820000
